"zeitpunkt","bruttolastgang","status"
"2021-01-01T00:00",61356.007673,"E"
"2021-01-01T00:15",64619.057324,"E"
"2021-01-01T00:30",64345.583036,"E"
"2021-01-01T00:45",63106.573844,"E"
"2021-01-01T01:00",61644.056344,"E"
"2021-01-01T01:15",60047.211882,"E"
"2021-01-01T01:30",59077.597308,"E"
"2021-01-01T01:45",58004.837044,"E"
"2021-01-01T02:00",57432.367854,"E"
"2021-01-01T02:15",59668.941019,"E"
"2021-01-01T02:30",59066.974628,"E"
"2021-01-01T02:45",57913.591714,"E"
"2021-01-01T03:00",56988.848954,"E"
"2021-01-01T03:15",56266.220711,"E"
"2021-01-01T03:30",55534.049852,"E"
"2021-01-01T03:45",54971.174822,"E"
"2021-01-01T04:00",54496.362302,"E"
"2021-01-01T04:15",54366.683078,"E"
"2021-01-01T04:30",53872.834996,"E"
"2021-01-01T04:45",54109.980024,"E"
"2021-01-01T05:00",54200.643307,"E"
"2021-01-01T05:15",55188.143419,"E"
"2021-01-01T05:30",55833.213325,"E"
"2021-01-01T05:45",56723.533001,"E"
"2021-01-01T06:00",57092.185521,"E"
"2021-01-01T06:15",57488.923699,"E"
"2021-01-01T06:30",57936.513213,"E"
"2021-01-01T06:45",58301.495019,"E"
"2021-01-01T07:00",58570.142854,"E"
"2021-01-01T07:15",59545.463549,"E"
"2021-01-01T07:30",60117.201234,"E"
"2021-01-01T07:45",60328.227663,"E"
"2021-01-01T08:00",60979.561326,"E"
"2021-01-01T08:15",61279.195928,"E"
"2021-01-01T08:30",61172.346451,"E"
"2021-01-01T08:45",61307.628000,"E"
"2021-01-01T09:00",61462.246838,"E"
"2021-01-01T09:15",62014.692350,"E"
"2021-01-01T09:30",62810.229080,"E"
"2021-01-01T09:45",63637.231429,"E"
"2021-01-01T10:00",64425.637974,"E"
"2021-01-01T10:15",65079.736820,"E"
"2021-01-01T10:30",65638.295704,"E"
"2021-01-01T10:45",66696.086869,"E"
"2021-01-01T11:00",67420.068131,"E"
"2021-01-01T11:15",68480.304819,"E"
"2021-01-01T11:30",68953.623928,"E"
"2021-01-01T11:45",69611.538421,"E"
"2021-01-01T12:00",70074.290038,"E"
"2021-01-01T12:15",70634.642643,"E"
"2021-01-01T12:30",71527.403772,"E"
"2021-01-01T12:45",72243.312386,"E"
"2021-01-01T13:00",72494.323449,"E"
"2021-01-01T13:15",72702.498078,"E"
"2021-01-01T13:30",72377.147932,"E"
"2021-01-01T13:45",72230.595108,"E"
"2021-01-01T14:00",72170.575770,"E"
"2021-01-01T14:15",71828.999323,"E"
"2021-01-01T14:30",71804.570991,"E"
"2021-01-01T14:45",71336.791335,"E"
"2021-01-01T15:00",71408.183356,"E"
"2021-01-01T15:15",71223.207768,"E"
"2021-01-01T15:30",71417.795318,"E"
"2021-01-01T15:45",71788.219860,"E"
"2021-01-01T16:00",72352.401778,"E"
"2021-01-01T16:15",72191.843564,"E"
"2021-01-01T16:30",73118.609249,"E"
"2021-01-01T16:45",74077.922102,"E"
"2021-01-01T17:00",75790.294277,"E"
"2021-01-01T17:15",76550.963558,"E"
"2021-01-01T17:30",77607.472548,"E"
"2021-01-01T17:45",78481.333339,"E"
"2021-01-01T18:00",79352.220110,"E"
"2021-01-01T18:15",79467.336018,"E"
"2021-01-01T18:30",79704.509670,"E"
"2021-01-01T18:45",79206.695591,"E"
"2021-01-01T19:00",79047.075746,"E"
"2021-01-01T19:15",77947.655539,"E"
"2021-01-01T19:30",77095.173496,"E"
"2021-01-01T19:45",75939.971052,"E"
"2021-01-01T20:00",75110.764243,"E"
"2021-01-01T20:15",74057.195555,"E"
"2021-01-01T20:30",73352.563376,"E"
"2021-01-01T20:45",72405.728041,"E"
"2021-01-01T21:00",71878.488563,"E"
"2021-01-01T21:15",70623.910877,"E"
"2021-01-01T21:30",69560.980867,"E"
"2021-01-01T21:45",68468.603751,"E"
"2021-01-01T22:00",67714.483210,"E"
"2021-01-01T22:15",66928.838487,"E"
"2021-01-01T22:30",65855.129518,"E"
"2021-01-01T22:45",64417.614914,"E"
"2021-01-01T23:00",63482.937534,"E"
"2021-01-01T23:15",62200.870711,"E"
"2021-01-01T23:30",61097.066321,"E"
"2021-01-01T23:45",59922.123808,"E"
"2021-01-02T00:00",59130.467609,"E"
"2021-01-02T00:15",62992.961197,"E"
"2021-01-02T00:30",62143.599458,"E"
"2021-01-02T00:45",60759.658349,"E"
