"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.35,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",87.68,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",953.89,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",5.43,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.84,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.17,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.77,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",83.52,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","p","h1","hPa",956.54,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","WD","h1","°",333.16,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.03,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.67,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2.13,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",90.3,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",954.26,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","WD","h1","°",108.69,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.21,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.32,"provisorisch"
"2021-01-01T01:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.1,"provisorisch"
"2021-01-01T01:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",89.62,"provisorisch"
"2021-01-01T01:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",954,"provisorisch"
"2021-01-01T01:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T01:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2021-01-01T01:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",35.88,"provisorisch"
"2021-01-01T01:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.91,"provisorisch"
"2021-01-01T01:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.27,"provisorisch"
"2021-01-01T01:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.64,"provisorisch"
"2021-01-01T01:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",85.49,"provisorisch"
"2021-01-01T01:00+0100","Zch_Schimmelstrasse","p","h1","hPa",956.64,"provisorisch"
"2021-01-01T01:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T01:00+0100","Zch_Schimmelstrasse","WD","h1","°",334.51,"provisorisch"
"2021-01-01T01:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.15,"provisorisch"
"2021-01-01T01:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.55,"provisorisch"
"2021-01-01T01:00+0100","Zch_Rosengartenstrasse","T","h1","°C",1.92,"provisorisch"
"2021-01-01T01:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",92.17,"provisorisch"
"2021-01-01T01:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",954.34,"provisorisch"
"2021-01-01T01:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.07,"provisorisch"
"2021-01-01T01:00+0100","Zch_Rosengartenstrasse","WD","h1","°",94.15,"provisorisch"
"2021-01-01T01:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.31,"provisorisch"
"2021-01-01T01:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.35,"provisorisch"
"2021-01-01T02:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.29,"provisorisch"
"2021-01-01T02:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",90.74,"provisorisch"
"2021-01-01T02:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",954.36,"provisorisch"
"2021-01-01T02:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T02:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2021-01-01T02:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",304.59,"provisorisch"
"2021-01-01T02:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.24,"provisorisch"
"2021-01-01T02:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.86,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.7,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",86.09,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","p","h1","hPa",957.02,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","WD","h1","°",320.82,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.04,"provisorisch"
"2021-01-01T02:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.84,"provisorisch"
"2021-01-01T02:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2.17,"provisorisch"
"2021-01-01T02:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",91.85,"provisorisch"
